id,archivo,titular,fuente,fecha,url,cuerpo_completo,motivo_cuerpo,palabras_cuerpo,relevancia_prefiltro,motivo_prefiltro,tema_principal,tema_secundaria,ambito,tipo,horizonte,a_quien_afecta,por_que
11,noticias/20260923_011_madrid-cierra-su-mejor-verano-turistico-con-1-76-millones-de.md,"Madrid cierra su mejor verano turístico con 1,76 millones de viajeros y casi 3,5 millones de pernoctaciones",eldiariodemadrid.es (descubierta),2026-09-23 09:30,https://www.eldiariodemadrid.es/articulo/turismo/madrid-mejor-verano-turistico-alojamientos-hoteleros/20260923093027142143.html,si,,492,fuera,No aparece el ámbito de la Agencia; candidata a descarte.,FUERA DE ÁMBITO,,,,,,Datos de turismo hotelero en Madrid; no es vivienda
12,noticias/20260923_012_el-recargo-del-ibi-por-las-viviendas-vacias-en-cadiz-acaba-e.md,El recargo del IBI por las viviendas vacías en Cádiz acaba en el juzgado,andaluciainformacion.es (descubierta),2026-09-23 09:17,https://www.andaluciainformacion.es/articulo/cadiz-local/recargo-ibi-viviendas-vacias-cadiz-acaba-juzgado/202609230917023485405.html,si,,719,alta,El ámbito de la Agencia aparece en el titular o de forma repetida.,Políticas de vivienda,,local,normativa,inmediato,Área jurídica / planificación,"Recargo del IBI a vivienda vacía en Cádiz, ahora en litigio; precedente andaluz"
13,noticias/20260923_013_como-limpiar-una-plancha-quemada-el-truco-del-paracetamol-qu.md,Cómo limpiar una plancha quemada: el truco del paracetamol que se ha hecho viral y otros métodos que funcionan,Fotocasa Research,2026-09-23 07:00,https://www.fotocasa.es/fotocasa-life/curiosidades/limpiar-una-plancha-quemada/,si,,923,fuera,No aparece el ámbito de la Agencia; candidata a descarte.,FUERA DE ÁMBITO,,,,,,Truco doméstico de limpieza; sin relación con vivienda
14,noticias/20260923_014_numa-nombra-a-alvaro-pastor-nuevo-director-de-expansion-para.md,Numa nombra a Álvaro Pastor nuevo director de Expansión para España,Brains Real Estate News,2026-09-23 06:51,https://brainsre.news/numa-alvaro-pastor-nuevo-director-expansion-espana/,si,,707,dudosa,Toca el ámbito de refilón: hay que leerla para decidir.,FUERA DE ÁMBITO,,,,,,Nombramiento de un directivo de alojamiento hotelero digital; no vivienda social
15,noticias/20260923_015_trump-y-rodriguez-sellan-su-historica-reunion-en-nueva-york-.md,Trump y Rodríguez sellan su “histórica” reunión en Nueva York con sonrisas y acuerdos políticos,laopiniondemalaga.es (descubierta),2026-09-23 06:49,https://www.laopiniondemalaga.es/videos/internacional/2026/09/23/trump-rodriguez-sellan-historica-reunion-nueva-york-134580981.html,no,La página no expone el texto del artículo en HTML plano.,0,fuera,No aparece el ámbito de la Agencia; candidata a descarte.,FUERA DE ÁMBITO,,,,,,Reunión diplomática internacional; sin relación
16,noticias/20260923_016_velez-malaga-reclama-mas-capacidad-electrica-para-desbloquea.md,Vélez-Málaga reclama más capacidad eléctrica para desbloquear 4.000 viviendas,andaluciainformacion.es (descubierta),2026-09-23 08:48,https://www.andaluciainformacion.es/articulo/velez-malaga/velez-malaga-reclama-mas-capacidad-electrica-desbloquear-4000-viviendas/202609230848103485381.html,si,,307,alta,El ámbito de la Agencia aparece en el titular o de forma repetida.,Políticas de vivienda,Otras políticas públicas,local,normativa,inmediato,Área de planificación / suelo,Saturación eléctrica en Vélez-Málaga bloquea 4.000 viviendas; caso andaluz
17,noticias/20260923_017_alivio-para-la-factura-energetica-espanola-el-precio-del-pet.md,Alivio para la factura energética española: el precio del petróleo Brent cae tras el gesto de Trump e Irán,moncloa.com (descubierta),2026-09-23 06:39,https://www.moncloa.com/2026/09/23/precio-petroleo-brent-caida-trump-iran-3436219/,si,,831,fuera,No aparece el ámbito de la Agencia; candidata a descarte.,FUERA DE ÁMBITO,,,,,,Precio del petróleo y factura energética española; no vivienda
18,noticias/20260923_018_cuando-la-protesta-pretende-convertirse-en-obstruccion.md,Cuando la protesta pretende convertirse en obstrucción,eldiariodemadrid.es (descubierta),2026-09-23 08:27,https://www.eldiariodemadrid.es/articulo/opinion/cuando-protesta-pretende-convertirse-obstruccion/20260923082738142133.html,si,,2022,alta,El ámbito de la Agencia aparece en el titular o de forma repetida.,Necesidades sociales y de vivienda,,estatal,social,inmediato,Comunicación / relaciones institucionales,Columna de opinión sobre el debate público del desahucio de Maricarmen
19,noticias/20260923_019_ayudas-al-alquiler-en-murcia-16-millones-y-la-mayor-convocat.md,Ayudas al alquiler en Murcia: 16 millones y la mayor convocatoria de los últimos años,que.es (descubierta),2026-09-23 06:06,https://www.que.es/2026/09/23/ayudas-alquiler-murcia-16-millones/,si,,588,alta,El ámbito de la Agencia aparece en el titular o de forma repetida.,Financiación pública,Políticas de vivienda,autonómico,financiación,inmediato,Área de ayudas / financiación,"Ayudas autonómicas al alquiler joven en Murcia, referencia comparativa"
20,noticias/20260923_020_alicatar-un-bano-sobre-otro-alicatado-quitar-los-azulejos-o-.md,Alicatar un baño sobre otro alicatado: ¿quitar los azulejos o ponerlos encima?,Fotocasa Research,2026-09-23 06:00,https://www.fotocasa.es/fotocasa-life/hogar/decoracion/alicatar-un-bano-sobre-otro-alicatado/,si,,805,dudosa,Toca el ámbito de refilón: hay que leerla para decidir.,FUERA DE ÁMBITO,,,,,,Guía de bricolaje para alicatar un baño; sin relación con política de vivienda
21,noticias/20260923_021_espana-el-pais-de-la-ue-con-mas-suelo-degradado-y-mayor-dese.md,"España, el país de la UE con más suelo degradado y mayor desertificación",laopiniondemalaga.es (descubierta),2026-09-23 05:55,https://www.laopiniondemalaga.es/medio-ambiente/2026/09/23/espana-pais-ue-suelo-degradado-134580139.html,si,,520,alta,El ámbito de la Agencia aparece en el titular o de forma repetida.,Otras políticas públicas,,estatal,normativa,largo,Planificación estratégica,"Informe europeo sobre degradación del suelo; efecto a largo plazo, no vivienda directa"
22,noticias/20260923_022_por-cuanto-podrias-vender-tu-casa-hoy-el-precio-de-una-vivie.md,¿Por cuánto podrías vender tu casa hoy? El precio de una vivienda de 80 m² ya supera los 253.000€ en 2026,Fotocasa Research,2026-09-23 05:02,https://www.fotocasa.es/fotocasa-life/vender-piso/por-cuanto-podrias-vender-tu-casa-hoy/,si,,703,alta,El ámbito de la Agencia aparece en el titular o de forma repetida.,Mercados y economía,,estatal,mercado,inmediato,Área de estudios,Precio medio de la vivienda de 80 m² en España y por comunidades
23,noticias/20260923_023_construccion-sostenible-el-nuevo-estandar-inmobiliario-para-.md,Construcción sostenible: el nuevo estándar inmobiliario para proteger el activo frente al ‘brown discount’,Brains Real Estate News,2026-09-23 05:00,https://brainsre.news/construccion-sostenible-inmobiliario-brown-discount/,si,,746,alta,El ámbito de la Agencia aparece en el titular o de forma repetida.,Proyectos e innovación técnica,Políticas de vivienda,europeo,tecnología,medio,Área técnica de rehabilitación,Normativa europea de eficiencia energética y certificación de edificios
24,noticias/20260923_024_cuanto-deberia-pagar-de-alquiler-la-regla-que-marca-hacienda.md,"¿Cuánto debería pagar de alquiler? La regla que marca Hacienda: si superas este % de tus ingresos en alquiler, estás en riesgo",moncloa.com (descubierta),2026-09-23 04:57,https://www.moncloa.com/2026/09/23/hacienda-banco-de-espana-3436097/,si,,816,alta,El ámbito de la Agencia aparece en el titular o de forma repetida.,Necesidades sociales y de vivienda,Mercados y economía,estatal,social,inmediato,Área de estudios / planificación social,Umbral de esfuerzo en alquiler fijado por el Banco de España; emergencia habitacional
25,noticias/20260923_025_automovilisticas-y-electricas-piden-al-regulador-aleman-que-.md,Automovilísticas y eléctricas piden al regulador alemán que flexibilice las normas sobre la carga bidireccional,El Periodico de la Energia,2026-09-23 03:30,https://elperiodicodelaenergia.com/automovilisticas-y-electricas-piden-al-regulador-aleman-que-flexibilice-las-normas-sobre-la-carga-bidireccional/,si,,500,fuera,No aparece el ámbito de la Agencia; candidata a descarte.,FUERA DE ÁMBITO,,,,,,Regulación alemana de carga bidireccional de coches eléctricos; no vivienda
26,noticias/20260923_026_vestas-apuesta-por-palas-mas-largas-para-abaratar-la-energia.md,Vestas apuesta por palas más largas para abaratar la energía eólica,El Periodico de la Energia,2026-09-23 03:30,https://elperiodicodelaenergia.com/vestas-apuesta-por-palas-mas-largas-para-abaratar-la-energia-eolica/,si,,511,fuera,No aparece el ámbito de la Agencia; candidata a descarte.,FUERA DE ÁMBITO,,,,,,"Nueva turbina eólica de Vestas; industria energética, no vivienda"
27,noticias/20260923_027_la-energia-mundial-se-reequilibra-en-tiempo-real-ante-el-cru.md,"La energía mundial se reequilibra en tiempo real ante el cruce de la demanda, las disrupciones y las limitaciones del sistema",El Periodico de la Energia,2026-09-23 03:30,https://elperiodicodelaenergia.com/la-energia-mundial-se-reequilibra-en-tiempo-real-ante-el-cruce-de-la-demanda-las-disrupciones-y-las-limitaciones-del-sistema/,si,,559,fuera,No aparece el ámbito de la Agencia; candidata a descarte.,FUERA DE ÁMBITO,,,,,,Informe global sobre reequilibrio del sistema energético mundial; no vivienda
28,noticias/20260923_028_el-origen-del-combustible-emerge-como-una-palanca-inmediata-.md,El origen del combustible emerge como una palanca inmediata para descarbonizar la aviación,El Periodico de la Energia,2026-09-23 03:30,https://elperiodicodelaenergia.com/el-origen-del-combustible-emerge-como-una-palanca-inmediata-para-descarbonizar-la-aviacion/,si,,901,fuera,No aparece el ámbito de la Agencia; candidata a descarte.,FUERA DE ÁMBITO,,,,,,Descarbonización del combustible de aviación; no vivienda
29,noticias/20260923_029_arabia-saudi-tambien-se-enchufa-asi-son-sus-dos-primeros-coc.md,Arabia Saudí también se enchufa: así son sus dos primeros coches eléctricos,El Periodico de la Energia,2026-09-23 03:30,https://elperiodicodelaenergia.com/ceer-exobot-arabia-saudi-coches-electricos/,si,,1040,dudosa,Toca el ámbito de refilón: hay que leerla para decidir.,FUERA DE ÁMBITO,,,,,,Presentación de coches eléctricos en Arabia Saudí; no vivienda
30,noticias/20260923_030_el-repunte-de-la-demanda-electrica-coincide-con-un-aumento-d.md,El repunte de la demanda eléctrica coincide con un aumento de las emisiones en 2026,El Periodico de la Energia,2026-09-23 03:30,https://elperiodicodelaenergia.com/el-repunte-de-la-demanda-electrica-coincide-con-un-aumento-de-las-emisiones-en-2026/,si,,811,fuera,No aparece el ámbito de la Agencia; candidata a descarte.,FUERA DE ÁMBITO,,,,,,Demanda eléctrica y emisiones en Europa; no vivienda
31,noticias/20260923_031_el-almacenamiento-podria-superar-el-crecimiento-de-la-fotovo.md,El almacenamiento podría superar el crecimiento de la fotovoltaica en 2026,El Periodico de la Energia,2026-09-23 03:30,https://elperiodicodelaenergia.com/el-almacenamiento-podria-superar-el-crecimiento-de-la-fotovoltaica-en-2026/,si,,862,fuera,No aparece el ámbito de la Agencia; candidata a descarte.,FUERA DE ÁMBITO,,,,,,"Previsión de crecimiento del almacenamiento energético; mercado industrial, no vivienda"
32,noticias/20260923_032_espana-lidera-en-renovables-pero-sigue-rezagada-en-la-econom.md,"España lidera en renovables, pero sigue rezagada en la economía eléctrica y digital",El Periodico de la Energia,2026-09-23 03:30,https://elperiodicodelaenergia.com/espana-lidera-en-renovables-pero-se-esta-quedando-atras-en-la-economia-electrica-y-digital-advierte-ember/,si,,881,fuera,No aparece el ámbito de la Agencia; candidata a descarte.,FUERA DE ÁMBITO,,,,,,Informe sobre electrificación e IA en España; no vivienda
33,noticias/20260923_033_la-iniciativa-orklidea-de-orkli-abre-su-tercera-edicion-para.md,La iniciativa Orklidea de Orkli abre su tercera edición para proyectos asociativos de Euskal Herria,Construible,2026-09-23 02:00,https://www.construible.es/2026/09/23/iniciativa-orklidea-de-orkli-abre-tercera-edicion-para-proyectos-asociativos-euskal-herria,si,,191,fuera,No aparece el ámbito de la Agencia; candidata a descarte.,FUERA DE ÁMBITO,,,,,,Convocatoria de ayudas a proyectos asociativos vascos; sin relación con vivienda
34,noticias/20260923_034_valencia-creara-espacios-de-confort-climatico-con-soluciones.md,Valencia creará espacios de confort climático con soluciones innovadoras contra el calor urbano,Construible,2026-09-23 02:00,https://www.construible.es/2026/09/23/valencia-creara-espacios-confort-climatico-con-soluciones-innovadoras-contra-calor-urbano,si,,430,fuera,No aparece el ámbito de la Agencia; candidata a descarte.,Otras políticas públicas,,local,proyecto,medio,Planificación urbana,Proyecto municipal de adaptación climática urbana en Valencia; referencia de espacio público
35,noticias/20260923_035_saint-gobain-se-incorpora-como-socio-protector-del-observato.md,Saint-Gobain se incorpora como socio protector del Observatorio de Arquitectura Saludable,Construible,2026-09-23 02:00,https://www.construible.es/2026/09/23/saint-gobain-se-incorpora-socio-protector-observatorio-arquitectura-saludable,si,,545,dudosa,Toca el ámbito de refilón: hay que leerla para decidir.,Proyectos e innovación técnica,,estatal,evento,medio,Área técnica de edificación,Incorporación de un fabricante al Observatorio de Arquitectura Saludable
36,noticias/20260923_036_el-decreto-que-regulara-el-consejo-andaluz-de-la-vivienda-se.md,El decreto que regulará el Consejo Andaluz de la Vivienda se somete a consulta pública previa,Construible,2026-09-23 02:00,https://www.construible.es/2026/09/23/decreto-regulara-consejo-andaluz-vivienda-somete-consulta-publica-previa,si,,455,alta,El ámbito de la Agencia aparece en el titular o de forma repetida.,Políticas de vivienda,"AVRA, imagen y posicionamiento",autonómico,normativa,inmediato,Dirección General AVRA,"Consulta pública del decreto del Consejo Andaluz de la Vivienda, órgano clave para AVRA"
37,noticias/20260923_037_finalizan-las-obras-de-rehabilitacion-integral-de-182-vivien.md,Finalizan las obras de rehabilitación integral de 182 viviendas de las Cases dels Ferroviaris de Gandía,Construible,2026-09-23 02:00,https://www.construible.es/2026/09/23/finalizan-obras-rehabilitacion-integral-182-viviendas-cases-dels-ferroviaris-gandia,si,,442,alta,El ámbito de la Agencia aparece en el titular o de forma repetida.,Proyectos e innovación técnica,Financiación pública,local,proyecto,inmediato,Área de rehabilitación,Rehabilitación energética integral de 182 viviendas con fondos Next Generation en Gandía
38,noticias/20260923_038_orden-vau-987-2026-de-21-de-septiembre-por-la-que-se-convoca.md,"Orden VAU/987/2026, de 21 de septiembre, por la que se convoca el Premio Nacional de Arquitectura correspondiente al año 2025.",BOE - Sumario del dia,2026-09-23 00:00,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2026-19752,si,,1710,alta,El ámbito de la Agencia aparece en el titular o de forma repetida.,Eventos,Políticas de vivienda,estatal,evento,inmediato,Comunicación / relaciones institucionales,Convocatoria del Premio Nacional de Arquitectura por el Ministerio de Vivienda
39,noticias/20260923_039_anuncio-de-formalizacion-de-contratos-de-direccion-de-adquis.md,Anuncio de formalización de contratos de: Dirección de Adquisiciones del Mando de Apoyo Logístico del Ejército del Aire y del Espacio. Objeto: 20267113 Las Palmas / Telde / B.A. Gando / Rehabilitación integral central eléctrica y sistema de distribución Base Aérea. Expediente: 2025/EA02/00002139E.,BOE - Sumario del dia,2026-09-23 00:00,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2026-30683,parcial,El texto publicado es muy breve.,18,alta,El ámbito de la Agencia aparece en el titular o de forma repetida.,FUERA DE ÁMBITO,,,,,,Rehabilitación de una central eléctrica de una base aérea; no vivienda
40,noticias/20260923_040_anuncio-de-licitacion-de-adif-alta-velocidad-presidencia-obj.md,Anuncio de licitación de: ADIF Alta Velocidad - Presidencia. Objeto: Asistencia técnica para el control y vigilancia de las obras del proyecto de construcción de una base de mantenimiento de material rodante en la subbase de mantenimiento de Madrid-Sur. Expediente: 3.26/20810.0083.,BOE - Sumario del dia,2026-09-23 00:00,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2026-30694,parcial,El texto publicado es muy breve.,14,dudosa,Toca el ámbito de refilón: hay que leerla para decidir.,FUERA DE ÁMBITO,,,,,,Contrato de asistencia técnica para obras ferroviarias de ADIF; no vivienda
41,noticias/20260923_041_anuncio-de-licitacion-de-adif-alta-velocidad-presidencia-obj.md,Anuncio de licitación de: ADIF Alta Velocidad - Presidencia. Objeto: Suministro de aparatos de vía para la construcción de un taller de mantenimiento de material rodante en la subbase de mantenimiento de Madrid-sur. Expediente: 3.26/20810.0062.,BOE - Sumario del dia,2026-09-23 00:00,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2026-30698,parcial,El texto publicado es muy breve.,14,fuera,No aparece el ámbito de la Agencia; candidata a descarte.,FUERA DE ÁMBITO,,,,,,Suministro de material ferroviario para ADIF; no vivienda
42,noticias/20260923_042_anuncio-de-licitacion-de-adif-presidencia-objeto-ejecucion-d.md,Anuncio de licitación de: ADIF - Presidencia. Objeto: Ejecución de las obras del proyecto de construcción para la modificación de aparatos en la cabecera lado Recoletos en la Estación de Atocha Cercanías. Expediente: 3.26/27507.0047.,BOE - Sumario del dia,2026-09-23 00:00,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2026-30699,parcial,El texto publicado es muy breve.,14,dudosa,Toca el ámbito de refilón: hay que leerla para decidir.,FUERA DE ÁMBITO,,,,,,Obras en la estación de Atocha Cercanías; no vivienda
43,noticias/20260923_043_anuncio-de-licitacion-de-consejo-rector-de-casa-47-entidad-p.md,"Anuncio de licitación de: Consejo Rector de CASA 47 Entidad Pública Empresarial. Objeto: Servicios de mantenimiento de infraestructura TIC, sistema de recuperación ante desastres y custodia de copias de seguridad. Expediente: 132921.",BOE - Sumario del dia,2026-09-23 00:00,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2026-30701,parcial,El texto publicado es muy breve.,11,fuera,No aparece el ámbito de la Agencia; candidata a descarte.,FUERA DE ÁMBITO,,,,,,Contrato de mantenimiento informático de una entidad pública; no vivienda
44,noticias/20260923_044_anuncio-de-adif-alta-velocidad-por-el-que-se-somete-a-inform.md,Anuncio de ADIF-Alta Velocidad por el que se somete a información pública a efectos de declaración de la necesidad de ocupación el Proyecto de Construcción de Plataforma. Conexión Madrid – País Vasco - Frontera Francesa. Tramo: Burgos - Vitoria. Subtramo: Valle de las Navas - Piérnigas.,BOE - Sumario del dia,2026-09-23 00:00,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2026-30716,si,Página muy larga: se guardan los 120 primeros párrafos de 241.,2300,dudosa,Toca el ámbito de refilón: hay que leerla para decidir.,FUERA DE ÁMBITO,,,,,,"Expropiaciones para una línea de alta velocidad; infraestructura ferroviaria, no vivienda"
45,noticias/20260923_045_anuncio-de-la-delegacion-territorial-de-economia-hacienda-fo.md,"Anuncio de la Delegación Territorial de Economía, Hacienda, Fondos Europeos y de Universidad, Industria, Energía e Innovación en Sevilla, por el que se somete a información pública la petición realizada por la mercantil Green Ric Energy, s.l.u, por la que se solicita la modificación de la autorización administrativa previa y de construcción, así como la declaración en concreto de utilidad pública para la hibridación mediante almacenamiento con baterías BESS de la instalación de generación denominada ""HSF híbrida Greencar 3"", ubicada en el término municipal de Carmona (Sevilla). Exp. 280.523.",BOE - Sumario del dia,2026-09-23 00:00,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2026-30746,si,,608,dudosa,Toca el ámbito de refilón: hay que leerla para decidir.,FUERA DE ÁMBITO,,,,,,"Instalación fotovoltaica industrial con baterías en Carmona (Sevilla); energía, no vivienda"
46,noticias/20260923_046_acuerdo-de-colaboracion-entre-verificae-y-enac-para-facilita.md,Acuerdo de colaboración entre VerifiCAE y Enac para facilitar la participación técnica de organismos acreditados,interempresas.net (descubierta),2026-09-23 00:00,https://www.interempresas.net/Climatizacion/663666-Acuerdo-colaboracion-entre-VerifiCAE-Enac-facilitar-participacion-tecnica-organismos.html,si,,229,fuera,No aparece el ámbito de la Agencia; candidata a descarte.,Otras políticas públicas,,estatal,normativa,medio,Área técnica (certificación energética),Acuerdo entre verificadores de certificados de ahorro energético y Enac
47,noticias/20260923_047_arhus-sportypro-de-panter-proteccion-y-confort-para-las-jorn.md,Arhus Sportypro de Panter: protección y confort para las jornadas más exigentes en construcción y obra pública @Panter_Calzado,interempresas.net (descubierta),2026-09-23 00:00,https://www.interempresas.net/Proteccion-laboral/663638-Arhus-Sportypro-Panter-proteccion-confort-jornadas-mas-exigentes-construccion-obra-publica.html,si,,520,dudosa,Toca el ámbito de refilón: hay que leerla para decidir.,FUERA DE ÁMBITO,,,,,,"Calzado de seguridad para obra; producto laboral, no vivienda"
48,noticias/20260923_048_descarbonizar-la-industria-empieza-en-el-taller.md,Descarbonizar la industria empieza en el taller,interempresas.net (descubierta),2026-09-23 00:00,https://www.interempresas.net/MetalMecanica/663615-Descarbonizar-la-industria-empieza-en-el-taller.html,si,,602,fuera,No aparece el ámbito de la Agencia; candidata a descarte.,FUERA DE ÁMBITO,,,,,,"Descarbonización de talleres metalmecánicos; industria, no vivienda"
49,noticias/20260923_049_el-dato-tambien-cultiva-digitalizacion-y-control-inteligente.md,El dato también cultiva: digitalización y control inteligente para la horticultura del futuro,interempresas.net (descubierta),2026-09-23 00:00,https://www.interempresas.net/Horticola/663392-dato-tambien-cultiva-digitalizacion-y-control-inteligente-para-horticultura-del-futuro.html,si,,157,fuera,No aparece el ámbito de la Agencia; candidata a descarte.,FUERA DE ÁMBITO,,,,,,"Digitalización de invernaderos; agricultura, no vivienda"
50,noticias/20260923_050_henkel-presentara-en-aluminium-2026-nuevas-soluciones-para-e.md,Henkel presentará en Aluminium 2026 nuevas soluciones para el tratamiento y acabado del aluminio,interempresas.net (descubierta),2026-09-23 00:00,https://www.interempresas.net/TTS/663497-Henkel-presentara-Aluminium-2026-soluciones-tratamiento-acabado-aluminio.html,si,,810,dudosa,Toca el ámbito de refilón: hay que leerla para decidir.,FUERA DE ÁMBITO,,,,,,"Tratamiento industrial de aluminio; industria, no vivienda"
51,noticias/20260923_051_innovi-impulsa-tres-proyectos-para-transformar-la-viticultur.md,INNOVI impulsa tres proyectos para transformar la viticultura hacia un modelo más sostenible,interempresas.net (descubierta),2026-09-23 00:00,https://www.interempresas.net/Vitivinicola/663857-INNOVI-impulsa-tres-proyectos-para-transformar-viticultura-hacia-modelo-mas-sostenible.html,si,,503,dudosa,Toca el ámbito de refilón: hay que leerla para decidir.,FUERA DE ÁMBITO,,,,,,"Proyectos de sostenibilidad en viticultura; agricultura, no vivienda"
